geo_id2,geo_name,eatribe,eaid,state,year,pcinc,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logdist,dist,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
4060,"Susanville Rancheria, CA",WASHO . .,340,CA,2000,6789,1,0,0,2,2,1,17070,4.6,5.5797300339,1.0407799482,2.8314245179,-0.2775418162,1,-0.1352005569,Pacific,15.0914258957,63.0188713074,4.4561667442,11.9662733078,0,0,3,0,0,0,0,0,0,0,0
4075,"Swinomish Reservation, WA",SQUAMISH.,475,WA,2000,8712,1,0,0,3,3,2,21542.5,3.925,6.4150967598,2.6321666241,13.903861733,1.0812935829,1,3.9643963362,Northwest,11.4141645432,67.9214401245,0,0,0,0,11,1,0,2,1,0.0909090936,0,0.1818181872,0.0909090936
4140,"Taos Pueblo and Off-Reservation Trust Land, NM",ISLETA. .,434,NM,2000,9512,0,0,8,7,2,1,14781,5.175,7.2019162178,4.5492148399,94.5581358888,-0.1281237751,1,6.0031321916,Southwest,10.3399333954,75.8569335938,0,0,0,0,349,3,2,21,40,0.0085959882,0.0057306592,0.0601719208,0.1146131828
4170,"Tesuque Pueblo and Off-Reservation Trust Land, NM",TEWA. . .,435,NM,2000,12195,0,0,9,7,2,1,19622.2,4.12,6.0402545929,2.5919060707,13.35520332,-0.981164515,1,4.2472622601,Southwest,10.5137605667,71.6666641235,0,0,0,12977.1142578125,58,1,3,4,7,0.0172413792,0.0517241396,0.068965517,0.1206896529
4200,"Tohono O'odham Reservation and Off-Reservation Trust Land, AZ",PAPAGO. .,184,AZ,2000,6520,1,0,5,3,3,1,19138,3.45,9.1884012222,4.4016757011,81.5874703984,-1.4059535265,1,9.3531526646,Western,11.3043422699,65.7978134155,0,0,12933.5947265625,87083.4765625,39,0,1,4,3,0,0.025641026,0.1025641039,0.0769230798
4225,"Tonawanda Reservation, NY",IROQUOIS.,663,NY,2000,10689,0,1,4,7,3,1,18355.8,3.78,5.6767539978,3.1044068336,22.2959898212,-2.965297699,0,3.407391158,Eastern,12.3992080688,71.575340271,0,0,0,0,7,0,0,1,2,0,0,0.1428571492,0.2857142985
4235,"Tonto Apache Reservation, AZ",W.APACHE.,441,AZ,2000,8879,1,0,3,3,3,1,17727,4.1,4.9272537231,0.1215839311,1.1292841441,-2.5422766209,1,-1.0650911555,Western,11.7761468887,50.7246360779,0.3113323748,0.4885333478,8747.2197265625,78528.1328125,2,0,0,0,0,0,0,0,0
4255,"Torres-Martinez Reservation, CA",CAHUILLA.,546,CA,2000,13618,0,0,0,2,3,1,18284.6666666667,4.7333333333,5.2470240593,3.2235264778,25.1165371004,-1.1589261293,0,4.8494645119,Pacific,10.8309011459,78.4210510254,4.143348217,0,517612.46875,18644.419921875,105,0,0,7,15,0,0,0.0666666701,0.1428571492
4290,"Tulalip Reservation, WA",SQUAMISH.,475,WA,2000,10623,1,0,0,3,3,2,22048.3333333333,3.6,7.5363640785,2.0276436806,7.5961662602,0.2341779023,1,4.9037410553,Northwest,10.9265050888,60.9599990845,0,0,0,0,17,0,0,3,1,0,0,0.1764705926,0.0588235296
4300,"Tule River Reservation, CA",YOKUTS. .,174,CA,2000,9156,1,0,0,2,3,2,14883,7.15,6.2344107628,3.3042552471,27.2282557138,0.4422456622,1,5.3880463571,Pacific,11.875919342,58.0392189026,10.2421045303,0,432219.90625,0,15,0,0,3,1,0,0,0.200000003,0.0666666701
4330,"Tuolumne Rancheria and Off-Reservation Trust Land, CA",MIWOK . .,273,CA,2000,9219,1,0,0,3,2,1,21015,3.8,4.8598122597,4.0656104088,58.3004847914,-0.7570144534,0,0.3410920782,Pacific,11.0593366623,78.2945785522,20.3563594818,0,2118988.75,0,4,0,0,0,2,0,0,0,0.5
4345,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",CHIPPEWA.,499,MT--ND--SD,2000,8330,0,0,2,2,3,1,14770.3142857143,3.5028571429,8.9457235336,4.426150322,83.6089291131,-2.1795043945,1,6.4452520887,N/A,13.639673233,62.3192176819,0,0.0077178711,124921.09375,16677.984375,61,3,0,6,2,0.0491803288,0,0.0983606577,0.0327868834
4360,"Tuscarora Reservation, NY",IROQUOIS.,663,NY,2000,11408,1,1,4,7,3,1,19788,4.15,6.0258660316,2.4433681965,11.5117493508,-1.8239661455,1,3.1784350684,Eastern,12.5388069153,61.5942001343,0,0,0,0,22,0,0,2,3,0,0,0.0909090936,0.1363636404
4390,"Uintah and Ouray Reservation and Off-Reservation Trust Land, UT",UINTAH. .,600,UT,2000,6934,1,0,0,2,2,1,18208.4615384615,3.9307692308,7.9459095001,4.8570575714,128.6451155974,-0.4289140701,0,9.7800365719,Western,12.4274482727,64.483001709,2.4442293644,15.1144208908,25542.791015625,122806.2890625,31,0,0,1,4,0,0,0.0322580636,0.1290322542
4455,"Upper Skagit Reservation, WA",SQUAMISH.,475,WA,2000,5523,1,0,0,3,3,2,20640.5,4.6,4.9344739914,2.7498753071,15.6406814804,-0.9464162588,1,-0.8053068393,Northwest,10.563041687,58.9928016663,0,0,0,0,57,1,0,5,16,0.0175438598,0,0.0877192989,0.2807017565
4470,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",MOANUNTS.,601,CO--NM--UT,2000,8159,0,0,0,2,2,1,14427.4,6.22,7.4193806648,4.0520892143,57.5174979869,-0.7606030107,1,7.755062527,Southwest,11.8552513123,64.1486816406,0,0,0,0,153,2,1,7,8,0.0130718956,0.0065359478,0.045751635,0.0522875823
4500,"Viejas Reservation, CA",DIEGUENO.,339,CA,2000,28128,0,0,0,2,3,1,22926,3.6,5.4467372894,3.2537419796,25.8870276319,-0.0986589864,1,1.8753322366,Pacific,13.7847499847,52.1551742554,0,0,150192.203125,23443.0234375,13,0,0,2,2,0,0,0.1538461596,0.1538461596
4515,"Walker River Reservation, NV",KUYUIDOKA,569,NV,2000,10167,0,0,0,2,2,1,18253,5.1666666667,6.440946579,4.5265860558,92.442428463,-0.5951609015,0,7.227540421,Western,10.8981256485,64.1148300171,0,8.1488380432,332771,1175317.25,5,0,0,0,0,0,0,0,0
4595,"White Earth Reservation and Off-Reservation Trust Land, MN",CHIPPEWA.,499,MN,2000,9127,1,0,2,2,3,1,16908,4.26,8.0532512665,4.2398395538,69.3967165083,-2.716088295,1,8.013760209,Midwest,11.951048851,65.0445251465,0,0,0,0,352,57,15,27,28,0.1619318128,0.0426136367,0.0767045468,0.0795454532
4625,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",WINNEBAGO,78,NE--IA,2000,7662,1,1,3,3,3,1,17141.7777777778,2.1777777778,7.2584123611,3.4554214478,31.6716338089,-2.25010252,1,6.1339746097,Great Plains,13.4746923447,59.2253494263,0,0,0,0,32,0,0,1,1,0,0,0.03125,0.03125
4665,"Woodfords Community, CA",WASHO . .,340,CA,2000,6741,1,0,0,2,2,1,25759.6666666667,4.3,5.2040066719,3.0958662033,22.1063788651,0.2821210623,0,0.4553214868,Western,10.9012947083,68.6813201904,0,1.5037294626,548184.625,57042.9296875,44,3,1,3,3,0.0681818202,0.0227272734,0.0681818202,0.0681818202
4700,"Yankton Reservation, SD",SANTEE. .,627,SD,2000,6170,1,0,1,2,2,1,14347.2222222222,1.7888888889,7.8917045593,4.2855987549,72.646030866,-2.1803138256,1,7.4803957397,Great Plains,12.1078519821,58.2429885864,0,0,0,0,683,8,8,21,43,0.0117130307,0.0117130307,0.0307467058,0.0629575402
4708,"Yavapai-Apache Nation Reservation, AZ",YAVAPAI .,608,AZ,2000,7005,1,0,0,2,2,1,18433,3.75,6.5102581978,3.3983125687,29.9135803223,-1.5719307661,1,0.9546463084,Western,11.6304416656,53.125,1.5547162294,2.4396140575,10291.9970703125,76996.96875,0,0,0,0,0,0,0,0,0
