geo_id2,geo_name,eatribe,eaid,state,year,pcinc,LOGPCINC,LNPCINC,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logpopsq,logdist,DIST,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
1825,"Lac du Flambeau Reservation, WI",CHIPPEWA.,499,WI,2000,10741,4.031044717,9.281823474,0,0,2,2,3,1,18328.75,3.95,7.351799965,54.04896273,4.506930828,32131.48726,-3.606480122,1,5.858557698,Midwest,12.12993813,62.92494965,0,0.007717871,0,0,21,0,0,3,0,0,0,0.142857149,0
1830,"Lac Vieux Desert Reservation, MI",CHIPPEWA.,499,MI,2000,7843,3.894482215,8.967376693,0,0,2,2,3,1,16836.4,4.52,4.905274868,24.06172153,4.832118988,67938.97464,-3.504504442,1,0.283323505,Midwest,12.27635479,65.92592621,0,0.007717871,0,4956.992188,0,0,0,0,0,0,0,0,0
1840,"Laguna Pueblo and Off-Reservation Trust Land, NM",ACOMA . .,439,NM,2000,8615,3.935255282,9.061260149,0,0,1,2,3,1,14727.28571,5.171428571,8.207402229,67.36145135,4.10806036,12825.08818,-1.200065494,0,7.608155343,Southwest,10.98072147,70.44711304,0,0,0,0,253,,,,,,,,
1850,"La Jolla Reservation, CA",LUISENO .,548,CA,2000,13156,4.119123865,9.484633207,0,0,0,2,2,1,20807.5,4,5.676753998,32.22553595,3.263273478,1833.468604,0.431818843,0,3.556681988,Pacific,10.97394466,72.94520569,0,0,330985.625,25831.24609,19,0,0,1,2,0,0,0.052631579,0.105263159
1860,"Lake Traverse Reservation, SD--ND",SANTEE. .,627,SD--ND,2000,7786,3.891314399,8.960082528,1,0,1,2,2,1,16759.1,2.54,8.140024185,66.25999373,4.418450832,26209.02303,-2.435647726,1,8.270613262,Great Plains,12.59428024,60.48410416,0,0,0,0,22,1,0,5,0,0.045454547,0,0.227272734,0
1880,"L'Anse Reservation and Off-Reservation Trust Land, MI",CHIPPEWA.,499,MI,2000,12048,4.080914959,9.39665395,0,0,2,2,3,1,16804.5,4.25,6.748759747,45.54575812,4.402832031,25283.19948,-1.406187773,1,5.652689125,Midwest,12.48338223,68.46424103,0,0.007717871,0,0,2,0,0,0,0,0,0,0,0
1925,"Laytonville Rancheria, CA",HUPA. . .,518,CA,2000,8048,3.905687968,8.993178892,1,0,0,7,3,2,19443,4.5,5.272999763,27.8045265,4.148170471,14065.9954,-1.524977803,1,-0.237828567,Pacific,9.93353653,65.12820435,5.853612423,0.493419349,0,0,5,1,0,0,1,0.200000003,0,0,0.200000003
1940,"Leech Lake Reservation and Off-Reservation Trust Land, MN",CHIPPEWA.,499,MN,2000,8180,3.912753304,9.00944743,1,0,2,2,3,1,17809.83333,3.95,8.402007103,70.59372336,3.894243002,7838.681199,-3.20058465,1,8.129340811,Midwest,12.0345335,61.2208252,0,0,0,0,223,37,17,13,18,0.165919289,0.076233186,0.058295965,0.080717489
1960,Little River,OTTAWA. .,503,GA,2000,17467,4.24221832,9.768068665,1,1,3,3,3,1,17458.5,4.1,6.739336491,45.41865634,4.28791666,19405.13464,-2.24323082,1,-0.342953516,Midwest,11.65868092,64,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Little Traverse Bay,OTTAWA. .,503,MI,2000,19062,4.280168465,9.855452103,1,1,3,3,3,1,20600,4.35,7.23849678,52.39583563,4.419838905,26292.92517,-1.524977803,1,-4.485431591,Midwest,11.24023628,64,0,0,0,0,34,0,0,0,3,0,0,0,0.088235296
2030,"Lower Brule Reservation and Off-Reservation Trust Land, SD",SANTEE. .,627,SD,2000,6129,3.787389621,8.720786883,0,0,1,2,2,1,15312.85714,3.814285714,7.087573528,50.23369851,4.018000603,10423.18876,-1.844191313,1,6.914911875,Great Plains,12.54220295,57.81119537,3.8525002,0.084091045,0,0,19,0,0,1,2,0,0,0.052631579,0.105263159
2040,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",KLALLAM .,478,WA,2000,8082,3.907518846,8.997394646,1,0,0,2,3,4,19517,3.9,5.54517746,30.74899306,2.268680811,185.6439545,-1.296887755,0,0.769429228,Northwest,10.33923244,57.421875,0,0,0,0,1,0,0,0,0,0,0,0,0
2055,"Lower Sioux Reservation, MN",SANTEE. .,627,MN,2000,28584,4.456123003,10.2606024,0,0,1,2,2,1,18736,2.766666667,5.572154045,31.0489007,3.878635645,7561.982098,-2.051537037,1,1.937536807,Midwest,12.23803234,63.11787415,0,0,0,0,9,0,0,1,0,0,0,0.111111112,0
